id_new;IdCase;time:timestamp;msgInstanceId;msgType;org:group;concept:name;eventType;msgFlow
3838;case_237;2021-06-16 16:55:17.265000+02:00;;;Visitor;Wait for card;;
3838;case_237;2021-06-16 16:56:27.100000+02:00;card_239;receive;Visitor;Card received?;notification;card
3838;case_237;2021-06-16 16:56:35.979000+02:00;;;Visitor;Go home;;
3939;case_241;2021-06-16 16:56:38.896000+02:00;;;Visitor;Decide individual or family ticket;;
3939;case_241;2021-06-16 16:56:42.227000+02:00;;;Visitor;Prepare family's information;;
3939;case_241;2021-06-16 16:56:46.579000+02:00;info_242;send;Visitor;Send information to the ZooClub department;;info
3939;case_241;2021-06-16 16:56:50.934000+02:00;;;Visitor;Wait for card;;
3939;case_241;2021-06-16 16:57:26.569000+02:00;card_243;receive;Visitor;Card received?;notification;card
3939;case_241;2021-06-16 16:57:29.906000+02:00;;;Visitor;Go home;;
4040;case_245;2021-06-16 16:57:33.970000+02:00;;;Visitor;Decide individual or family ticket;;
4040;case_245;2021-06-16 16:57:36.988000+02:00;;;Visitor;Prepare family's information;;
4040;case_245;2021-06-16 16:57:37.298000+02:00;info_246;send;Visitor;Send information to the ZooClub department;;info
4040;case_245;2021-06-16 16:57:44.069000+02:00;;;Visitor;Wait for card;;
4040;case_245;2021-06-16 16:58:26.061000+02:00;card_247;receive;Visitor;Card received?;notification;card
4040;case_245;2021-06-16 16:58:31.365000+02:00;;;Visitor;Go home;;
4141;case_249;2021-06-16 16:58:35.810000+02:00;;;Visitor;Decide individual or family ticket;;
4141;case_249;2021-06-16 16:58:39.350000+02:00;;;Visitor;Prepare family's information;;
4141;case_249;2021-06-16 16:58:43.556000+02:00;info_250;send;Visitor;Send information to the ZooClub department;;info
4141;case_249;2021-06-16 16:58:59.058000+02:00;;;Visitor;Wait for card;;
4141;case_249;2021-06-16 16:59:44.487000+02:00;card_251;receive;Visitor;Card received?;notification;card
4141;case_249;2021-06-16 16:59:46.840000+02:00;;;Visitor;Go home;;
4242;case_25;2021-06-16 15:52:00.773000+02:00;;;Visitor;Decide individual or family ticket;;
4242;case_25;2021-06-16 15:52:03.883000+02:00;;;Visitor;Prepare family's information;;
4242;case_25;2021-06-16 15:52:05.926000+02:00;info_26;send;Visitor;Send information to the ZooClub department;;info
4242;case_25;2021-06-16 15:52:17.510000+02:00;;;Visitor;Wait for card;;
4242;case_25;2021-06-16 15:53:09.549000+02:00;card_27;receive;Visitor;Card received?;notification;card
4242;case_25;2021-06-16 15:53:10.267000+02:00;;;Visitor;Go home;;
4343;case_253;2021-06-16 16:59:51.468000+02:00;;;Visitor;Decide individual or family ticket;;
4343;case_253;2021-06-16 16:59:55.954000+02:00;;;Visitor;Prepare family's information;;
4343;case_253;2021-06-16 16:59:57.086000+02:00;info_254;send;Visitor;Send information to the ZooClub department;;info
4343;case_253;2021-06-16 16:59:59.331000+02:00;;;Visitor;Wait for card;;
4343;case_253;2021-06-16 17:00:50.972000+02:00;card_255;receive;Visitor;Card received?;notification;card
4343;case_253;2021-06-16 17:00:55.534000+02:00;;;Visitor;Go home;;
4444;case_257;2021-06-16 17:00:58.124000+02:00;;;Visitor;Decide individual or family ticket;;
4444;case_257;2021-06-16 17:00:59.413000+02:00;;;Visitor;Prepare personal information;;
4444;case_257;2021-06-16 17:01:02.157000+02:00;info_258;send;Visitor;Send information to the ZooClub department;;info
4444;case_257;2021-06-16 17:01:26.105000+02:00;;;Visitor;Wait for card;;
4444;case_257;2021-06-16 17:02:22.437000+02:00;card_259;receive;Visitor;Card received?;notification;card
4444;case_257;2021-06-16 17:02:23.130000+02:00;;;Visitor;Go home;;
4545;case_261;2021-06-16 17:02:27.064000+02:00;;;Visitor;Decide individual or family ticket;;
4545;case_261;2021-06-16 17:02:31.333000+02:00;;;Visitor;Prepare personal information;;
4545;case_261;2021-06-16 17:02:33.539000+02:00;info_262;send;Visitor;Send information to the ZooClub department;;info
4545;case_261;2021-06-16 17:02:40.846000+02:00;;;Visitor;Wait for card;;
4545;case_261;2021-06-16 17:03:36.876000+02:00;card_263;receive;Visitor;Card received?;notification;card
4545;case_261;2021-06-16 17:03:44.448000+02:00;;;Visitor;Go home;;
4646;case_265;2021-06-16 17:03:46.425000+02:00;;;Visitor;Decide individual or family ticket;;
4646;case_265;2021-06-16 17:03:48.597000+02:00;;;Visitor;Prepare personal information;;
4646;case_265;2021-06-16 17:03:49.584000+02:00;info_266;send;Visitor;Send information to the ZooClub department;;info
4646;case_265;2021-06-16 17:04:03.870000+02:00;;;Visitor;Wait for card;;
4646;case_265;2021-06-16 17:04:46.522000+02:00;card_267;receive;Visitor;Card received?;notification;card
4646;case_265;2021-06-16 17:04:53.359000+02:00;;;Visitor;Go home;;
4747;case_269;2021-06-16 17:04:56.469000+02:00;;;Visitor;Decide individual or family ticket;;
4747;case_269;2021-06-16 17:05:00.157000+02:00;;;Visitor;Prepare personal information;;
4747;case_269;2021-06-16 17:05:00.216000+02:00;info_270;send;Visitor;Send information to the ZooClub department;;info
4747;case_269;2021-06-16 17:05:08.051000+02:00;;;Visitor;Wait for card;;
4747;case_269;2021-06-16 17:06:16.338000+02:00;card_271;receive;Visitor;Card received?;notification;card
4747;case_269;2021-06-16 17:06:21.496000+02:00;;;Visitor;Go home;;
4848;case_273;2021-06-16 17:06:24.238000+02:00;;;Visitor;Decide individual or family ticket;;
4848;case_273;2021-06-16 17:06:24.901000+02:00;;;Visitor;Prepare personal information;;
4848;case_273;2021-06-16 17:06:27.570000+02:00;info_274;send;Visitor;Send information to the ZooClub department;;info
4848;case_273;2021-06-16 17:06:35.824000+02:00;;;Visitor;Wait for card;;
4848;case_273;2021-06-16 17:07:15.676000+02:00;card_275;receive;Visitor;Card received?;notification;card
4848;case_273;2021-06-16 17:07:20.965000+02:00;;;Visitor;Go home;;
4949;case_277;2021-06-16 17:07:23.411000+02:00;;;Visitor;Decide individual or family ticket;;
4949;case_277;2021-06-16 17:07:28.034000+02:00;;;Visitor;Prepare family's information;;
4949;case_277;2021-06-16 17:07:31.599000+02:00;info_278;send;Visitor;Send information to the ZooClub department;;info
4949;case_277;2021-06-16 17:07:41.533000+02:00;;;Visitor;Wait for card;;
4949;case_277;2021-06-16 17:08:26.584000+02:00;card_279;receive;Visitor;Card received?;notification;card
4949;case_277;2021-06-16 17:08:28.691000+02:00;;;Visitor;Go home;;
5050;case_281;2021-06-16 17:08:32.047000+02:00;;;Visitor;Decide individual or family ticket;;
5050;case_281;2021-06-16 17:08:35.595000+02:00;;;Visitor;Prepare personal information;;
5050;case_281;2021-06-16 17:08:39.984000+02:00;info_282;send;Visitor;Send information to the ZooClub department;;info
5050;case_281;2021-06-16 17:08:47.622000+02:00;;;Visitor;Wait for card;;
