id_new;IdCase;eventType;concept:name;msgType;time:timestamp;msgInstanceId;msgFlow;org:group
1010;case_132;;Change account;send;2021-06-16 16:25:52.876000+02:00;account_133;account;Bank
1010;case_132;;Payment confirmed;send;2021-06-16 16:25:52.876000+02:00;account_133;account;Bank
1111;case_136;start;Receive payment request;receive;2021-06-16 16:26:58.471000+02:00;request_136;request;Bank
1111;case_136;;Process payment information;;2021-06-16 16:26:59.381000+02:00;;;Bank
1111;case_136;;Change account;send;2021-06-16 16:27:04.206000+02:00;account_137;account;Bank
1111;case_136;;Payment confirmed;send;2021-06-16 16:27:04.206000+02:00;account_137;account;Bank
1212;case_140;start;Receive payment request;receive;2021-06-16 16:28:16.233000+02:00;request_140;request;Bank
1212;case_140;;Process payment information;;2021-06-16 16:28:23.732000+02:00;;;Bank
1212;case_140;;Change account;send;2021-06-16 16:28:25.270000+02:00;account_141;account;Bank
1212;case_140;;Payment confirmed;send;2021-06-16 16:28:25.270000+02:00;account_141;account;Bank
1313;case_144;start;Receive payment request;receive;2021-06-16 16:29:24.176000+02:00;request_144;request;Bank
1313;case_144;;Process payment information;;2021-06-16 16:29:34.513000+02:00;;;Bank
1313;case_144;;Change account;send;2021-06-16 16:29:35.438000+02:00;account_145;account;Bank
1313;case_144;;Payment confirmed;send;2021-06-16 16:29:35.438000+02:00;account_145;account;Bank
1414;case_148;start;Receive payment request;receive;2021-06-16 16:30:38.912000+02:00;request_148;request;Bank
1414;case_148;;Process payment information;;2021-06-16 16:31:02.681000+02:00;;;Bank
1414;case_148;;Change account;send;2021-06-16 16:31:03.700000+02:00;account_149;account;Bank
1414;case_148;;Payment confirmed;send;2021-06-16 16:31:03.700000+02:00;account_149;account;Bank
1515;case_152;start;Receive payment request;receive;2021-06-16 16:31:55.869000+02:00;request_152;request;Bank
1515;case_152;;Process payment information;;2021-06-16 16:32:00.440000+02:00;;;Bank
1515;case_152;;Change account;send;2021-06-16 16:32:02.755000+02:00;account_153;account;Bank
1515;case_152;;Payment confirmed;send;2021-06-16 16:32:02.755000+02:00;account_153;account;Bank
1616;case_156;start;Receive payment request;receive;2021-06-16 16:32:59.030000+02:00;request_156;request;Bank
1616;case_156;;Process payment information;;2021-06-16 16:33:02.873000+02:00;;;Bank
1616;case_156;;Change account;send;2021-06-16 16:33:02.898000+02:00;account_157;account;Bank
1616;case_156;;Payment confirmed;send;2021-06-16 16:33:02.898000+02:00;account_157;account;Bank
1717;case_16;start;Receive payment request;receive;2021-06-16 15:50:23.934000+02:00;request_16;request;Bank
1717;case_16;;Process payment information;;2021-06-16 15:50:28.391000+02:00;;;Bank
1717;case_16;;Change account;send;2021-06-16 15:50:30.877000+02:00;account_17;account;Bank
1717;case_16;;Payment confirmed;send;2021-06-16 15:50:30.877000+02:00;account_17;account;Bank
1818;case_160;start;Receive payment request;receive;2021-06-16 16:34:04.015000+02:00;request_160;request;Bank
1818;case_160;;Process payment information;;2021-06-16 16:34:09.804000+02:00;;;Bank
1818;case_160;;Change account;send;2021-06-16 16:34:14.951000+02:00;account_161;account;Bank
1818;case_160;;Payment confirmed;send;2021-06-16 16:34:14.951000+02:00;account_161;account;Bank
1919;case_164;start;Receive payment request;receive;2021-06-16 16:35:12.620000+02:00;request_164;request;Bank
1919;case_164;;Process payment information;;2021-06-16 16:35:16.721000+02:00;;;Bank
1919;case_164;;Change account;send;2021-06-16 16:35:21.334000+02:00;account_165;account;Bank
1919;case_164;;Payment confirmed;send;2021-06-16 16:35:21.334000+02:00;account_165;account;Bank
2020;case_168;start;Receive payment request;receive;2021-06-16 16:36:27.731000+02:00;request_168;request;Bank
2020;case_168;;Process payment information;;2021-06-16 16:36:31.131000+02:00;;;Bank
2020;case_168;;Change account;send;2021-06-16 16:36:34.479000+02:00;account_169;account;Bank
2020;case_168;;Payment confirmed;send;2021-06-16 16:36:34.479000+02:00;account_169;account;Bank
2121;case_172;start;Receive payment request;receive;2021-06-16 16:37:40.202000+02:00;request_172;request;Bank
2121;case_172;;Process payment information;;2021-06-16 16:37:46.336000+02:00;;;Bank
2121;case_172;;Change account;send;2021-06-16 16:37:51.495000+02:00;account_173;account;Bank
2121;case_172;;Payment confirmed;send;2021-06-16 16:37:51.495000+02:00;account_173;account;Bank
2222;case_176;start;Receive payment request;receive;2021-06-16 16:38:45.292000+02:00;request_176;request;Bank
2222;case_176;;Process payment information;;2021-06-16 16:38:47.334000+02:00;;;Bank
2222;case_176;;Change account;send;2021-06-16 16:38:51.875000+02:00;account_177;account;Bank
2222;case_176;;Payment confirmed;send;2021-06-16 16:38:51.875000+02:00;account_177;account;Bank
2323;case_180;start;Receive payment request;receive;2021-06-16 16:40:05.356000+02:00;request_180;request;Bank
2323;case_180;;Process payment information;;2021-06-16 16:40:07.281000+02:00;;;Bank
2323;case_180;;Change account;send;2021-06-16 16:40:11.762000+02:00;account_181;account;Bank
2323;case_180;;Payment confirmed;send;2021-06-16 16:40:11.762000+02:00;account_181;account;Bank
2424;case_184;start;Receive payment request;receive;2021-06-16 16:41:11.661000+02:00;request_184;request;Bank
2424;case_184;;Process payment information;;2021-06-16 16:41:16.107000+02:00;;;Bank
2424;case_184;;Change account;send;2021-06-16 16:41:20.454000+02:00;account_185;account;Bank
2424;case_184;;Payment confirmed;send;2021-06-16 16:41:20.454000+02:00;account_185;account;Bank
2525;case_188;start;Receive payment request;receive;2021-06-16 16:42:24.739000+02:00;request_188;request;Bank
2525;case_188;;Process payment information;;2021-06-16 16:42:29.822000+02:00;;;Bank
2525;case_188;;Change account;send;2021-06-16 16:42:31.190000+02:00;account_189;account;Bank
2525;case_188;;Payment confirmed;send;2021-06-16 16:42:31.190000+02:00;account_189;account;Bank
2626;case_192;start;Receive payment request;receive;2021-06-16 16:43:24.970000+02:00;request_192;request;Bank
2626;case_192;;Process payment information;;2021-06-16 16:43:33.668000+02:00;;;Bank
2626;case_192;;Change account;send;2021-06-16 16:43:38.443000+02:00;account_193;account;Bank
2626;case_192;;Payment confirmed;send;2021-06-16 16:43:38.443000+02:00;account_193;account;Bank
2727;case_196;start;Receive payment request;receive;2021-06-16 16:44:16.620000+02:00;request_196;request;Bank
2727;case_196;;Process payment information;;2021-06-16 16:44:17.141000+02:00;;;Bank
2727;case_196;;Change account;send;2021-06-16 16:44:27.568000+02:00;account_197;account;Bank
2727;case_196;;Payment confirmed;send;2021-06-16 16:44:27.568000+02:00;account_197;account;Bank
2828;case_20;start;Receive payment request;receive;2021-06-16 15:51:29.239000+02:00;request_20;request;Bank
2828;case_20;;Process payment information;;2021-06-16 15:51:34.152000+02:00;;;Bank
2828;case_20;;Change account;send;2021-06-16 15:51:34.263000+02:00;account_21;account;Bank
2828;case_20;;Payment confirmed;send;2021-06-16 15:51:34.263000+02:00;account_21;account;Bank
2929;case_200;start;Receive payment request;receive;2021-06-16 16:45:26.912000+02:00;request_200;request;Bank
2929;case_200;;Process payment information;;2021-06-16 16:45:31.202000+02:00;;;Bank
2929;case_200;;Change account;send;2021-06-16 16:45:33.527000+02:00;account_201;account;Bank
2929;case_200;;Payment confirmed;send;2021-06-16 16:45:33.527000+02:00;account_201;account;Bank
3030;case_204;start;Receive payment request;receive;2021-06-16 16:46:23.702000+02:00;request_204;request;Bank
3030;case_204;;Process payment information;;2021-06-16 16:46:26.040000+02:00;;;Bank
3030;case_204;;Change account;send;2021-06-16 16:46:30.908000+02:00;account_205;account;Bank
3030;case_204;;Payment confirmed;send;2021-06-16 16:46:30.908000+02:00;account_205;account;Bank
3131;case_208;start;Receive payment request;receive;2021-06-16 16:47:39.537000+02:00;request_208;request;Bank
3131;case_208;;Process payment information;;2021-06-16 16:47:47.131000+02:00;;;Bank
3131;case_208;;Change account;send;2021-06-16 16:47:51.184000+02:00;account_209;account;Bank
3131;case_208;;Payment confirmed;send;2021-06-16 16:47:51.184000+02:00;account_209;account;Bank
3232;case_212;start;Receive payment request;receive;2021-06-16 16:48:50.272000+02:00;request_212;request;Bank
3232;case_212;;Process payment information;;2021-06-16 16:48:55.263000+02:00;;;Bank
3232;case_212;;Change account;send;2021-06-16 16:48:59.551000+02:00;account_213;account;Bank
3232;case_212;;Payment confirmed;send;2021-06-16 16:48:59.551000+02:00;account_213;account;Bank
3333;case_216;start;Receive payment request;receive;2021-06-16 16:50:24.533000+02:00;request_216;request;Bank
3333;case_216;;Process payment information;;2021-06-16 16:50:25.022000+02:00;;;Bank
3333;case_216;;Change account;send;2021-06-16 16:50:25.133000+02:00;account_217;account;Bank
3333;case_216;;Payment confirmed;send;2021-06-16 16:50:25.133000+02:00;account_217;account;Bank
3434;case_220;start;Receive payment request;receive;2021-06-16 16:51:26.535000+02:00;request_220;request;Bank
3434;case_220;;Process payment information;;2021-06-16 16:51:29.103000+02:00;;;Bank
3434;case_220;;Change account;send;2021-06-16 16:51:33.036000+02:00;account_221;account;Bank
3434;case_220;;Payment confirmed;send;2021-06-16 16:51:33.036000+02:00;account_221;account;Bank
3535;case_224;start;Receive payment request;receive;2021-06-16 16:52:27.752000+02:00;request_224;request;Bank
3535;case_224;;Process payment information;;2021-06-16 16:52:30.767000+02:00;;;Bank
3535;case_224;;Change account;send;2021-06-16 16:52:37.912000+02:00;account_225;account;Bank
3535;case_224;;Payment confirmed;send;2021-06-16 16:52:37.912000+02:00;account_225;account;Bank
3636;case_228;start;Receive payment request;receive;2021-06-16 16:53:40.759000+02:00;request_228;request;Bank
3636;case_228;;Process payment information;;2021-06-16 16:53:45.165000+02:00;;;Bank
3636;case_228;;Change account;send;2021-06-16 16:53:47.405000+02:00;account_229;account;Bank
3636;case_228;;Payment confirmed;send;2021-06-16 16:53:47.405000+02:00;account_229;account;Bank
3737;case_232;start;Receive payment request;receive;2021-06-16 16:54:36.802000+02:00;request_232;request;Bank
3737;case_232;;Process payment information;;2021-06-16 16:54:37.034000+02:00;;;Bank
3737;case_232;;Change account;send;2021-06-16 16:54:37.157000+02:00;account_233;account;Bank
3737;case_232;;Payment confirmed;send;2021-06-16 16:54:37.157000+02:00;account_233;account;Bank
3838;case_236;start;Receive payment request;receive;2021-06-16 16:56:06.981000+02:00;request_236;request;Bank
3838;case_236;;Process payment information;;2021-06-16 16:56:14.863000+02:00;;;Bank
3838;case_236;;Change account;send;2021-06-16 16:56:15.442000+02:00;account_237;account;Bank
3838;case_236;;Payment confirmed;send;2021-06-16 16:56:15.442000+02:00;account_237;account;Bank
3939;case_24;start;Receive payment request;receive;2021-06-16 15:52:47.127000+02:00;request_24;request;Bank
3939;case_24;;Process payment information;;2021-06-16 15:52:50.882000+02:00;;;Bank
3939;case_24;;Change account;send;2021-06-16 15:52:54.521000+02:00;account_25;account;Bank
3939;case_24;;Payment confirmed;send;2021-06-16 15:52:54.521000+02:00;account_25;account;Bank
4040;case_240;start;Receive payment request;receive;2021-06-16 16:57:12.033000+02:00;request_240;request;Bank
4040;case_240;;Process payment information;;2021-06-16 16:57:12.906000+02:00;;;Bank
4040;case_240;;Change account;send;2021-06-16 16:57:17.058000+02:00;account_241;account;Bank
4040;case_240;;Payment confirmed;send;2021-06-16 16:57:17.058000+02:00;account_241;account;Bank
4141;case_244;start;Receive payment request;receive;2021-06-16 16:58:07.589000+02:00;request_244;request;Bank
4141;case_244;;Process payment information;;2021-06-16 16:58:14.374000+02:00;;;Bank
4141;case_244;;Change account;send;2021-06-16 16:58:15.045000+02:00;account_245;account;Bank
4141;case_244;;Payment confirmed;send;2021-06-16 16:58:15.045000+02:00;account_245;account;Bank
4242;case_248;start;Receive payment request;receive;2021-06-16 16:59:26.855000+02:00;request_248;request;Bank
4242;case_248;;Process payment information;;2021-06-16 16:59:29.607000+02:00;;;Bank
4242;case_248;;Change account;send;2021-06-16 16:59:30.897000+02:00;account_249;account;Bank
4242;case_248;;Payment confirmed;send;2021-06-16 16:59:30.897000+02:00;account_249;account;Bank
4343;case_252;start;Receive payment request;receive;2021-06-16 17:00:37.034000+02:00;request_252;request;Bank
4343;case_252;;Process payment information;;2021-06-16 17:00:39.069000+02:00;;;Bank
4343;case_252;;Change account;send;2021-06-16 17:00:39.253000+02:00;account_253;account;Bank
4343;case_252;;Payment confirmed;send;2021-06-16 17:00:39.253000+02:00;account_253;account;Bank
4444;case_256;start;Receive payment request;receive;2021-06-16 17:02:03.278000+02:00;request_256;request;Bank
4444;case_256;;Process payment information;;2021-06-16 17:02:07.159000+02:00;;;Bank
4444;case_256;;Change account;send;2021-06-16 17:02:11.891000+02:00;account_257;account;Bank
4444;case_256;;Payment confirmed;send;2021-06-16 17:02:11.891000+02:00;account_257;account;Bank
4545;case_260;start;Receive payment request;receive;2021-06-16 17:03:13.817000+02:00;request_260;request;Bank
4545;case_260;;Process payment information;;2021-06-16 17:03:14.757000+02:00;;;Bank
4545;case_260;;Change account;send;2021-06-16 17:03:23.511000+02:00;account_261;account;Bank
4545;case_260;;Payment confirmed;send;2021-06-16 17:03:23.511000+02:00;account_261;account;Bank
4646;case_264;start;Receive payment request;receive;2021-06-16 17:04:22.206000+02:00;request_264;request;Bank
4646;case_264;;Process payment information;;2021-06-16 17:04:23.459000+02:00;;;Bank
4646;case_264;;Change account;send;2021-06-16 17:04:31.303000+02:00;account_265;account;Bank
4646;case_264;;Payment confirmed;send;2021-06-16 17:04:31.303000+02:00;account_265;account;Bank
4747;case_268;start;Receive payment request;receive;2021-06-16 17:05:57.340000+02:00;request_268;request;Bank
4747;case_268;;Process payment information;;2021-06-16 17:06:00.069000+02:00;;;Bank
4747;case_268;;Change account;send;2021-06-16 17:06:04.086000+02:00;account_269;account;Bank
4747;case_268;;Payment confirmed;send;2021-06-16 17:06:04.086000+02:00;account_269;account;Bank
4848;case_272;start;Receive payment request;receive;2021-06-16 17:07:06.309000+02:00;request_272;request;Bank
4848;case_272;;Process payment information;;2021-06-16 17:07:09.571000+02:00;;;Bank
4848;case_272;;Change account;send;2021-06-16 17:07:10.389000+02:00;account_273;account;Bank
4848;case_272;;Payment confirmed;send;2021-06-16 17:07:10.389000+02:00;account_273;account;Bank
4949;case_276;start;Receive payment request;receive;2021-06-16 17:08:10.323000+02:00;request_276;request;Bank
4949;case_276;;Process payment information;;2021-06-16 17:08:12.403000+02:00;;;Bank
4949;case_276;;Change account;send;2021-06-16 17:08:14.082000+02:00;account_277;account;Bank
4949;case_276;;Payment confirmed;send;2021-06-16 17:08:14.082000+02:00;account_277;account;Bank
5050;case_28;start;Receive payment request;receive;2021-06-16 15:53:59.207000+02:00;request_28;request;Bank
5050;case_28;;Process payment information;;2021-06-16 15:54:03.272000+02:00;;;Bank
5050;case_28;;Change account;send;2021-06-16 15:54:07.620000+02:00;account_29;account;Bank
5050;case_28;;Payment confirmed;send;2021-06-16 15:54:07.620000+02:00;account_29;account;Bank
5151;case_280;start;Receive payment request;receive;2021-06-16 17:09:15.764000+02:00;request_280;request;Bank
5151;case_280;;Process payment information;;2021-06-16 17:09:23.733000+02:00;;;Bank
5151;case_280;;Change account;send;2021-06-16 17:09:35.326000+02:00;account_281;account;Bank
5151;case_280;;Payment confirmed;send;2021-06-16 17:09:35.326000+02:00;account_281;account;Bank
5252;case_284;start;Receive payment request;receive;2021-06-16 17:10:36.035000+02:00;request_284;request;Bank
5252;case_284;;Process payment information;;2021-06-16 17:10:39.533000+02:00;;;Bank
5252;case_284;;Change account;send;2021-06-16 17:10:42.157000+02:00;account_285;account;Bank
5252;case_284;;Payment confirmed;send;2021-06-16 17:10:42.157000+02:00;account_285;account;Bank
5353;case_288;start;Receive payment request;receive;2021-06-16 17:11:32.446000+02:00;request_288;request;Bank
5353;case_288;;Process payment information;;2021-06-16 17:11:39.957000+02:00;;;Bank
5353;case_288;;Change account;send;2021-06-16 17:11:42.649000+02:00;account_289;account;Bank
5353;case_288;;Payment confirmed;send;2021-06-16 17:11:42.649000+02:00;account_289;account;Bank
5454;case_292;start;Receive payment request;receive;2021-06-16 17:12:37.460000+02:00;request_292;request;Bank
5454;case_292;;Process payment information;;2021-06-16 17:12:37.565000+02:00;;;Bank
5454;case_292;;Change account;send;2021-06-16 17:12:39.887000+02:00;account_293;account;Bank
5454;case_292;;Payment confirmed;send;2021-06-16 17:12:39.887000+02:00;account_293;account;Bank
5555;case_296;start;Receive payment request;receive;2021-06-16 17:13:57.574000+02:00;request_296;request;Bank
5555;case_296;;Process payment information;;2021-06-16 17:14:01.099000+02:00;;;Bank
5555;case_296;;Change account;send;2021-06-16 17:14:05.931000+02:00;account_297;account;Bank
5555;case_296;;Payment confirmed;send;2021-06-16 17:14:05.931000+02:00;account_297;account;Bank
5656;case_300;start;Receive payment request;receive;2021-06-16 17:15:09.977000+02:00;request_300;request;Bank
5656;case_300;;Process payment information;;2021-06-16 17:15:11.628000+02:00;;;Bank
5656;case_300;;Change account;send;2021-06-16 17:15:14.607000+02:00;account_301;account;Bank
5656;case_300;;Payment confirmed;send;2021-06-16 17:15:14.607000+02:00;account_301;account;Bank
5757;case_304;start;Receive payment request;receive;2021-06-16 17:16:15.521000+02:00;request_304;request;Bank
5757;case_304;;Process payment information;;2021-06-16 17:16:18.646000+02:00;;;Bank
5757;case_304;;Change account;send;2021-06-16 17:16:19.797000+02:00;account_305;account;Bank
5757;case_304;;Payment confirmed;send;2021-06-16 17:16:19.797000+02:00;account_305;account;Bank
5858;case_308;start;Receive payment request;receive;2021-06-16 17:17:13.700000+02:00;request_308;request;Bank
5858;case_308;;Process payment information;;2021-06-16 17:17:15.984000+02:00;;;Bank
5858;case_308;;Change account;send;2021-06-16 17:17:18.760000+02:00;account_309;account;Bank
5858;case_308;;Payment confirmed;send;2021-06-16 17:17:18.760000+02:00;account_309;account;Bank
5959;case_312;start;Receive payment request;receive;2021-06-16 17:18:12.594000+02:00;request_312;request;Bank
5959;case_312;;Process payment information;;2021-06-16 17:18:16.510000+02:00;;;Bank
5959;case_312;;Change account;send;2021-06-16 17:18:27.269000+02:00;account_313;account;Bank
5959;case_312;;Payment confirmed;send;2021-06-16 17:18:27.269000+02:00;account_313;account;Bank
6060;case_316;start;Receive payment request;receive;2021-06-16 17:19:38.622000+02:00;request_316;request;Bank
6060;case_316;;Process payment information;;2021-06-16 17:19:40.899000+02:00;;;Bank
6060;case_316;;Change account;send;2021-06-16 17:19:45.806000+02:00;account_317;account;Bank
6060;case_316;;Payment confirmed;send;2021-06-16 17:19:45.806000+02:00;account_317;account;Bank
6161;case_32;start;Receive payment request;receive;2021-06-16 15:55:21.254000+02:00;request_32;request;Bank
6161;case_32;;Process payment information;;2021-06-16 15:55:23.530000+02:00;;;Bank
6161;case_32;;Change account;send;2021-06-16 15:55:23.847000+02:00;account_33;account;Bank
6161;case_32;;Payment confirmed;send;2021-06-16 15:55:23.847000+02:00;account_33;account;Bank
6262;case_320;start;Receive payment request;receive;2021-06-16 17:21:01.332000+02:00;request_320;request;Bank
6262;case_320;;Process payment information;;2021-06-16 17:21:07.231000+02:00;;;Bank
6262;case_320;;Change account;send;2021-06-16 17:21:12.320000+02:00;account_321;account;Bank
6262;case_320;;Payment confirmed;send;2021-06-16 17:21:12.320000+02:00;account_321;account;Bank
6363;case_324;start;Receive payment request;receive;2021-06-16 17:22:14.231000+02:00;request_324;request;Bank
6363;case_324;;Process payment information;;2021-06-16 17:22:14.470000+02:00;;;Bank
6363;case_324;;Change account;send;2021-06-16 17:22:16.766000+02:00;account_325;account;Bank
6363;case_324;;Payment confirmed;send;2021-06-16 17:22:16.766000+02:00;account_325;account;Bank
6464;case_328;start;Receive payment request;receive;2021-06-16 17:23:08.523000+02:00;request_328;request;Bank
6464;case_328;;Process payment information;;2021-06-16 17:23:13.126000+02:00;;;Bank
6464;case_328;;Change account;send;2021-06-16 17:23:16.735000+02:00;account_329;account;Bank
6464;case_328;;Payment confirmed;send;2021-06-16 17:23:16.735000+02:00;account_329;account;Bank
6565;case_332;start;Receive payment request;receive;2021-06-16 17:24:15.079000+02:00;request_332;request;Bank
6565;case_332;;Process payment information;;2021-06-16 17:24:16.182000+02:00;;;Bank
6565;case_332;;Change account;send;2021-06-16 17:24:22.596000+02:00;account_333;account;Bank
6565;case_332;;Payment confirmed;send;2021-06-16 17:24:22.596000+02:00;account_333;account;Bank
6666;case_336;start;Receive payment request;receive;2021-06-16 17:25:14.594000+02:00;request_336;request;Bank
6666;case_336;;Process payment information;;2021-06-16 17:25:16.723000+02:00;;;Bank
6666;case_336;;Change account;send;2021-06-16 17:25:20.054000+02:00;account_337;account;Bank
6666;case_336;;Payment confirmed;send;2021-06-16 17:25:20.054000+02:00;account_337;account;Bank
6767;case_340;start;Receive payment request;receive;2021-06-16 17:26:40.623000+02:00;request_340;request;Bank
6767;case_340;;Process payment information;;2021-06-16 17:26:41.307000+02:00;;;Bank
6767;case_340;;Change account;send;2021-06-16 17:26:42.853000+02:00;account_341;account;Bank
6767;case_340;;Payment confirmed;send;2021-06-16 17:26:42.853000+02:00;account_341;account;Bank
6868;case_344;start;Receive payment request;receive;2021-06-16 17:27:32.138000+02:00;request_344;request;Bank
6868;case_344;;Process payment information;;2021-06-16 17:27:43.473000+02:00;;;Bank
6868;case_344;;Change account;send;2021-06-16 17:27:51.314000+02:00;account_345;account;Bank
6868;case_344;;Payment confirmed;send;2021-06-16 17:27:51.314000+02:00;account_345;account;Bank
6969;case_348;start;Receive payment request;receive;2021-06-16 17:28:56.948000+02:00;request_348;request;Bank
6969;case_348;;Process payment information;;2021-06-16 17:29:01.629000+02:00;;;Bank
6969;case_348;;Change account;send;2021-06-16 17:29:05.821000+02:00;account_349;account;Bank
6969;case_348;;Payment confirmed;send;2021-06-16 17:29:05.821000+02:00;account_349;account;Bank
7070;case_352;start;Receive payment request;receive;2021-06-16 17:30:02.253000+02:00;request_352;request;Bank
7070;case_352;;Process payment information;;2021-06-16 17:30:09.831000+02:00;;;Bank
7070;case_352;;Change account;send;2021-06-16 17:30:14.773000+02:00;account_353;account;Bank
7070;case_352;;Payment confirmed;send;2021-06-16 17:30:14.773000+02:00;account_353;account;Bank
7171;case_356;start;Receive payment request;receive;2021-06-16 17:31:27.534000+02:00;request_356;request;Bank
7171;case_356;;Process payment information;;2021-06-16 17:31:34.271000+02:00;;;Bank
7171;case_356;;Change account;send;2021-06-16 17:31:39.873000+02:00;account_357;account;Bank
7171;case_356;;Payment confirmed;send;2021-06-16 17:31:39.873000+02:00;account_357;account;Bank
7272;case_36;start;Receive payment request;receive;2021-06-16 15:56:32.424000+02:00;request_36;request;Bank
7272;case_36;;Process payment information;;2021-06-16 15:56:33.721000+02:00;;;Bank
7272;case_36;;Change account;send;2021-06-16 15:56:36.365000+02:00;account_37;account;Bank
7272;case_36;;Payment confirmed;send;2021-06-16 15:56:36.365000+02:00;account_37;account;Bank
7373;case_360;start;Receive payment request;receive;2021-06-16 17:32:39.268000+02:00;request_360;request;Bank
7373;case_360;;Process payment information;;2021-06-16 17:32:40.203000+02:00;;;Bank
7373;case_360;;Change account;send;2021-06-16 17:32:43.600000+02:00;account_361;account;Bank
7373;case_360;;Payment confirmed;send;2021-06-16 17:32:43.600000+02:00;account_361;account;Bank
7474;case_364;start;Receive payment request;receive;2021-06-16 17:33:34.453000+02:00;request_364;request;Bank
7474;case_364;;Process payment information;;2021-06-16 17:33:37.611000+02:00;;;Bank
7474;case_364;;Change account;send;2021-06-16 17:33:39.633000+02:00;account_365;account;Bank
7474;case_364;;Payment confirmed;send;2021-06-16 17:33:39.633000+02:00;account_365;account;Bank
7575;case_368;start;Receive payment request;receive;2021-06-16 17:34:46.459000+02:00;request_368;request;Bank
7575;case_368;;Process payment information;;2021-06-16 17:34:52.199000+02:00;;;Bank
7575;case_368;;Change account;send;2021-06-16 17:34:53.595000+02:00;account_369;account;Bank
7575;case_368;;Payment confirmed;send;2021-06-16 17:34:53.595000+02:00;account_369;account;Bank
7676;case_372;start;Receive payment request;receive;2021-06-16 17:36:00.249000+02:00;request_372;request;Bank
7676;case_372;;Process payment information;;2021-06-16 17:36:03.489000+02:00;;;Bank
