id_new;IdCase;concept:name;org:group;msgFlow;time:timestamp;msgType;msgInstanceId
2828;case_201;Set Up Thermostat;User;termostat_on;2021-06-17 17:42:54.387000+02:00;send;termostat_on_242
2828;case_201;Power On;User;termostat_on;2021-06-17 17:42:54.387000+02:00;send;termostat_on_242
2828;case_201;Switch Off Thermostat;User;termostat_off;2021-06-17 17:43:02.073000+02:00;send;termostat_off_243
2929;case_205;Set Up Thermostat;User;termostat_on;2021-06-17 17:43:12.512000+02:00;send;termostat_on_245
2929;case_205;Power On;User;termostat_on;2021-06-17 17:43:12.512000+02:00;send;termostat_on_245
2929;case_205;Check Environment Temperature;User;temperature;2021-06-17 17:43:43.187000+02:00;receive;temperature_248
2929;case_205;Check Environment Temperature;User;temperature;2021-06-17 17:43:53.746000+02:00;receive;temperature_248
2929;case_205;Switch Off Thermostat;User;termostat_off;2021-06-17 17:44:02.836000+02:00;send;termostat_off_249
3030;case_209;Set Up Thermostat;User;termostat_on;2021-06-17 17:44:33.497000+02:00;send;termostat_on_251
3030;case_209;Power On;User;termostat_on;2021-06-17 17:44:33.497000+02:00;send;termostat_on_251
3030;case_209;Check Environment Temperature;User;temperature;2021-06-17 17:45:07.651000+02:00;receive;temperature_254
3030;case_209;Check Environment Temperature;User;temperature;2021-06-17 17:45:37.834000+02:00;receive;temperature_254
3030;case_209;Check Environment Temperature;User;temperature;2021-06-17 17:46:20.969000+02:00;receive;temperature_254
3030;case_209;Switch Off Thermostat;User;termostat_off;2021-06-17 17:46:31.347000+02:00;send;termostat_off_255
3131;case_21;Set Up Thermostat;User;termostat_on;2021-06-17 16:38:48.508000+02:00;send;termostat_on_24
3131;case_21;Power On;User;termostat_on;2021-06-17 16:38:48.508000+02:00;send;termostat_on_24
3131;case_21;Switch Off Thermostat;User;termostat_off;2021-06-17 16:39:05.514000+02:00;send;termostat_off_26
3232;case_213;Set Up Thermostat;User;termostat_on;2021-06-17 17:46:58.358000+02:00;send;termostat_on_257
3232;case_213;Power On;User;termostat_on;2021-06-17 17:46:58.358000+02:00;send;termostat_on_257
3232;case_213;Check Environment Temperature;User;temperature;2021-06-17 17:47:37.910000+02:00;receive;temperature_260
3232;case_213;Switch Off Thermostat;User;termostat_off;2021-06-17 17:47:46.301000+02:00;send;termostat_off_261
3333;case_217;Set Up Thermostat;User;termostat_on;2021-06-17 17:48:25.555000+02:00;send;termostat_on_263
3333;case_217;Power On;User;termostat_on;2021-06-17 17:48:25.555000+02:00;send;termostat_on_263
3333;case_217;Switch Off Thermostat;User;termostat_off;2021-06-17 17:48:42.531000+02:00;send;termostat_off_265
3434;case_221;Set Up Thermostat;User;termostat_on;2021-06-17 17:49:01.673000+02:00;send;termostat_on_267
3434;case_221;Power On;User;termostat_on;2021-06-17 17:49:01.673000+02:00;send;termostat_on_267
3434;case_221;Check Environment Temperature;User;temperature;2021-06-17 17:49:52.809000+02:00;receive;temperature_270
3434;case_221;Switch Off Thermostat;User;termostat_off;2021-06-17 17:50:07.574000+02:00;send;termostat_off_271
3535;case_225;Set Up Thermostat;User;termostat_on;2021-06-17 17:50:50.318000+02:00;send;termostat_on_273
3535;case_225;Power On;User;termostat_on;2021-06-17 17:50:50.318000+02:00;send;termostat_on_273
3535;case_225;Switch Off Thermostat;User;termostat_off;2021-06-17 17:51:26.786000+02:00;send;termostat_off_275
3636;case_229;Set Up Thermostat;User;termostat_on;2021-06-17 17:52:05.159000+02:00;send;termostat_on_277
3636;case_229;Power On;User;termostat_on;2021-06-17 17:52:05.159000+02:00;send;termostat_on_277
3636;case_229;Switch Off Thermostat;User;termostat_off;2021-06-17 17:52:44.645000+02:00;send;termostat_off_281
3737;case_233;Set Up Thermostat;User;termostat_on;2021-06-17 17:53:27.810000+02:00;send;termostat_on_283
3737;case_233;Power On;User;termostat_on;2021-06-17 17:53:27.810000+02:00;send;termostat_on_283
3737;case_233;Check Environment Temperature;User;temperature;2021-06-17 17:54:20.386000+02:00;receive;temperature_286
3737;case_233;Switch Off Thermostat;User;termostat_off;2021-06-17 17:54:22.615000+02:00;send;termostat_off_287
3838;case_237;Set Up Thermostat;User;termostat_on;2021-06-17 17:54:55.346000+02:00;send;termostat_on_289
3838;case_237;Power On;User;termostat_on;2021-06-17 17:54:55.346000+02:00;send;termostat_on_289
3838;case_237;Check Environment Temperature;User;temperature;2021-06-17 17:56:00.905000+02:00;receive;temperature_292
3838;case_237;Check Environment Temperature;User;temperature;2021-06-17 17:56:21.132000+02:00;receive;temperature_292
3838;case_237;Switch Off Thermostat;User;termostat_off;2021-06-17 17:56:40.213000+02:00;send;termostat_off_293
3939;case_241;Set Up Thermostat;User;termostat_on;2021-06-17 17:57:05.339000+02:00;send;termostat_on_295
3939;case_241;Power On;User;termostat_on;2021-06-17 17:57:05.339000+02:00;send;termostat_on_295
3939;case_241;Check Environment Temperature;User;temperature;2021-06-17 17:57:50.664000+02:00;receive;temperature_298
3939;case_241;Switch Off Thermostat;User;termostat_off;2021-06-17 17:57:59.397000+02:00;send;termostat_off_299
4040;case_245;Set Up Thermostat;User;termostat_on;2021-06-17 17:58:55.491000+02:00;send;termostat_on_301
4040;case_245;Power On;User;termostat_on;2021-06-17 17:58:55.491000+02:00;send;termostat_on_301
4040;case_245;Check Environment Temperature;User;temperature;2021-06-17 17:59:40.902000+02:00;receive;temperature_304
4040;case_245;Switch Off Thermostat;User;termostat_off;2021-06-17 18:00:01.423000+02:00;send;termostat_off_305
4141;case_249;Set Up Thermostat;User;termostat_on;2021-06-17 18:00:39.653000+02:00;send;termostat_on_307
4141;case_249;Power On;User;termostat_on;2021-06-17 18:00:39.653000+02:00;send;termostat_on_307
4141;case_249;Check Environment Temperature;User;temperature;2021-06-17 18:02:04.039000+02:00;receive;temperature_310
4141;case_249;Switch Off Thermostat;User;termostat_off;2021-06-17 18:02:26.745000+02:00;send;termostat_off_311
4242;case_25;Set Up Thermostat;User;termostat_on;2021-06-17 16:39:20.513000+02:00;send;termostat_on_28
4242;case_25;Power On;User;termostat_on;2021-06-17 16:39:20.513000+02:00;send;termostat_on_28
4242;case_25;Check Environment Temperature;User;temperature;2021-06-17 16:39:51.399000+02:00;receive;temperature_31
4242;case_25;Check Environment Temperature;User;temperature;2021-06-17 16:40:54.445000+02:00;receive;temperature_31
4242;case_25;Switch Off Thermostat;User;termostat_off;2021-06-17 16:41:02.596000+02:00;send;termostat_off_32
4343;case_253;Set Up Thermostat;User;termostat_on;2021-06-17 18:02:53.518000+02:00;send;termostat_on_313
4343;case_253;Power On;User;termostat_on;2021-06-17 18:02:53.518000+02:00;send;termostat_on_313
4343;case_253;Switch Off Thermostat;User;termostat_off;2021-06-17 18:02:58.704000+02:00;send;termostat_off_314
4444;case_257;Set Up Thermostat;User;termostat_on;2021-06-17 18:03:16.029000+02:00;send;termostat_on_317
4444;case_257;Power On;User;termostat_on;2021-06-17 18:03:16.029000+02:00;send;termostat_on_317
4444;case_257;Switch Off Thermostat;User;termostat_off;2021-06-17 18:03:28.838000+02:00;send;termostat_off_319
4545;case_261;Set Up Thermostat;User;termostat_on;2021-06-17 18:03:42.757000+02:00;send;termostat_on_321
4545;case_261;Power On;User;termostat_on;2021-06-17 18:03:42.757000+02:00;send;termostat_on_321
4545;case_261;Check Environment Temperature;User;temperature;2021-06-17 18:04:31.607000+02:00;receive;temperature_324
4545;case_261;Switch Off Thermostat;User;termostat_off;2021-06-17 18:04:37.479000+02:00;send;termostat_off_325
4646;case_265;Set Up Thermostat;User;termostat_on;2021-06-17 18:06:04.111000+02:00;send;termostat_on_327
4646;case_265;Power On;User;termostat_on;2021-06-17 18:06:04.111000+02:00;send;termostat_on_327
4646;case_265;Switch Off Thermostat;User;termostat_off;2021-06-17 18:06:11.017000+02:00;send;termostat_off_328
4747;case_269;Set Up Thermostat;User;termostat_on;2021-06-17 18:06:28.929000+02:00;send;termostat_on_331
4747;case_269;Power On;User;termostat_on;2021-06-17 18:06:28.929000+02:00;send;termostat_on_331
4747;case_269;Check Environment Temperature;User;temperature;2021-06-17 18:07:09.747000+02:00;receive;temperature_334
4747;case_269;Check Environment Temperature;User;temperature;2021-06-17 18:07:38.823000+02:00;receive;temperature_334
4747;case_269;Switch Off Thermostat;User;termostat_off;2021-06-17 18:08:08.051000+02:00;send;termostat_off_335
4848;case_273;Set Up Thermostat;User;termostat_on;2021-06-17 18:08:42.064000+02:00;send;termostat_on_337
4848;case_273;Power On;User;termostat_on;2021-06-17 18:08:42.064000+02:00;send;termostat_on_337
4848;case_273;Switch Off Thermostat;User;termostat_off;2021-06-17 18:08:50.797000+02:00;send;termostat_off_338
4949;case_277;Set Up Thermostat;User;termostat_on;2021-06-17 18:09:19.332000+02:00;send;termostat_on_341
4949;case_277;Power On;User;termostat_on;2021-06-17 18:09:19.332000+02:00;send;termostat_on_341
4949;case_277;Switch Off Thermostat;User;termostat_off;2021-06-17 18:09:25.903000+02:00;send;termostat_off_342
5050;case_281;Set Up Thermostat;User;termostat_on;2021-06-17 18:09:58.359000+02:00;send;termostat_on_346
5050;case_281;Power On;User;termostat_on;2021-06-17 18:09:58.359000+02:00;send;termostat_on_346
5050;case_281;Switch Off Thermostat;User;termostat_off;2021-06-17 18:10:03.987000+02:00;send;termostat_off_348
5151;case_285;Set Up Thermostat;User;termostat_on;2021-06-17 18:10:30.497000+02:00;send;termostat_on_350
5151;case_285;Power On;User;termostat_on;2021-06-17 18:10:30.497000+02:00;send;termostat_on_350
5151;case_285;Check Environment Temperature;User;temperature;2021-06-17 18:11:08.119000+02:00;receive;temperature_353
5151;case_285;Check Environment Temperature;User;temperature;2021-06-17 18:11:39.809000+02:00;receive;temperature_353
5151;case_285;Check Environment Temperature;User;temperature;2021-06-17 18:12:27.337000+02:00;receive;temperature_353
5151;case_285;Check Environment Temperature;User;temperature;2021-06-17 18:13:21.699000+02:00;receive;temperature_353
5151;case_285;Switch Off Thermostat;User;termostat_off;2021-06-17 18:13:37.737000+02:00;send;termostat_off_354
5252;case_289;Set Up Thermostat;User;termostat_on;2021-06-17 18:14:01.598000+02:00;send;termostat_on_356
5252;case_289;Power On;User;termostat_on;2021-06-17 18:14:01.598000+02:00;send;termostat_on_356
5252;case_289;Switch Off Thermostat;User;termostat_off;2021-06-17 18:14:24.375000+02:00;send;termostat_off_358
5353;case_29;Set Up Thermostat;User;termostat_on;2021-06-17 16:41:34.712000+02:00;send;termostat_on_34
5353;case_29;Power On;User;termostat_on;2021-06-17 16:41:34.712000+02:00;send;termostat_on_34
5353;case_29;Switch Off Thermostat;User;termostat_off;2021-06-17 16:41:58.207000+02:00;send;termostat_off_36
5454;case_293;Set Up Thermostat;User;termostat_on;2021-06-17 18:15:03.195000+02:00;send;termostat_on_360
5454;case_293;Power On;User;termostat_on;2021-06-17 18:15:03.195000+02:00;send;termostat_on_360
5454;case_293;Switch Off Thermostat;User;termostat_off;2021-06-17 18:15:07.623000+02:00;send;termostat_off_361
5555;case_297;Set Up Thermostat;User;termostat_on;2021-06-17 18:15:32.852000+02:00;send;termostat_on_364
5555;case_297;Power On;User;termostat_on;2021-06-17 18:15:32.852000+02:00;send;termostat_on_364
5555;case_297;Check Environment Temperature;User;temperature;2021-06-17 18:16:20.081000+02:00;receive;temperature_367
5555;case_297;Check Environment Temperature;User;temperature;2021-06-17 18:17:14.668000+02:00;receive;temperature_367
5555;case_297;Switch Off Thermostat;User;termostat_off;2021-06-17 18:17:44.941000+02:00;send;termostat_off_368
5656;case_301;Set Up Thermostat;User;termostat_on;2021-06-17 18:18:10.216000+02:00;send;termostat_on_370
5656;case_301;Power On;User;termostat_on;2021-06-17 18:18:10.216000+02:00;send;termostat_on_370
5656;case_301;Switch Off Thermostat;User;termostat_off;2021-06-17 18:18:19.585000+02:00;send;termostat_off_372
5757;case_305;Set Up Thermostat;User;termostat_on;2021-06-17 18:18:51.718000+02:00;send;termostat_on_374
5757;case_305;Power On;User;termostat_on;2021-06-17 18:18:51.718000+02:00;send;termostat_on_374
5757;case_305;Switch Off Thermostat;User;termostat_off;2021-06-17 18:19:01.705000+02:00;send;termostat_off_376
5858;case_309;Set Up Thermostat;User;termostat_on;2021-06-17 18:19:26.347000+02:00;send;termostat_on_378
5858;case_309;Power On;User;termostat_on;2021-06-17 18:19:26.347000+02:00;send;termostat_on_378
5858;case_309;Switch Off Thermostat;User;termostat_off;2021-06-17 18:19:44.179000+02:00;send;termostat_off_380
5959;case_313;Set Up Thermostat;User;termostat_on;2021-06-17 18:20:11.358000+02:00;send;termostat_on_382
5959;case_313;Power On;User;termostat_on;2021-06-17 18:20:11.358000+02:00;send;termostat_on_382
5959;case_313;Check Environment Temperature;User;temperature;2021-06-17 18:20:35.082000+02:00;receive;temperature_385
5959;case_313;Check Environment Temperature;User;temperature;2021-06-17 18:20:51.694000+02:00;receive;temperature_385
5959;case_313;Check Environment Temperature;User;temperature;2021-06-17 18:21:15.977000+02:00;receive;temperature_385
5959;case_313;Check Environment Temperature;User;temperature;2021-06-17 18:21:48.906000+02:00;receive;temperature_385
5959;case_313;Check Environment Temperature;User;temperature;2021-06-17 18:24:05.178000+02:00;receive;temperature_385
5959;case_313;Switch Off Thermostat;User;termostat_off;2021-06-17 18:24:21.614000+02:00;send;termostat_off_386
6060;case_317;Set Up Thermostat;User;termostat_on;2021-06-17 18:24:52.938000+02:00;send;termostat_on_388
6060;case_317;Power On;User;termostat_on;2021-06-17 18:24:52.938000+02:00;send;termostat_on_388
6060;case_317;Switch Off Thermostat;User;termostat_off;2021-06-17 18:25:00.318000+02:00;send;termostat_off_389
6161;case_321;Set Up Thermostat;User;termostat_on;2021-06-17 18:25:28.728000+02:00;send;termostat_on_392
6161;case_321;Power On;User;termostat_on;2021-06-17 18:25:28.728000+02:00;send;termostat_on_392
6161;case_321;Check Environment Temperature;User;temperature;2021-06-17 18:26:17.805000+02:00;receive;temperature_395
6161;case_321;Check Environment Temperature;User;temperature;2021-06-17 18:27:25.475000+02:00;receive;temperature_395
6161;case_321;Switch Off Thermostat;User;termostat_off;2021-06-17 18:27:28.034000+02:00;send;termostat_off_396
6262;case_325;Set Up Thermostat;User;termostat_on;2021-06-17 18:28:24.501000+02:00;send;termostat_on_398
6262;case_325;Power On;User;termostat_on;2021-06-17 18:28:24.501000+02:00;send;termostat_on_398
6262;case_325;Check Environment Temperature;User;temperature;2021-06-17 18:29:18.875000+02:00;receive;temperature_401
6262;case_325;Switch Off Thermostat;User;termostat_off;2021-06-17 18:29:32.045000+02:00;send;termostat_off_402
6363;case_329;Set Up Thermostat;User;termostat_on;2021-06-17 18:29:48.602000+02:00;send;termostat_on_404
6363;case_329;Power On;User;termostat_on;2021-06-17 18:29:48.602000+02:00;send;termostat_on_404
6363;case_329;Check Environment Temperature;User;temperature;2021-06-17 18:30:34.828000+02:00;receive;temperature_407
6363;case_329;Switch Off Thermostat;User;termostat_off;2021-06-17 18:31:01.739000+02:00;send;termostat_off_408
6464;case_33;Set Up Thermostat;User;termostat_on;2021-06-17 16:42:25.738000+02:00;send;termostat_on_38
6464;case_33;Power On;User;termostat_on;2021-06-17 16:42:25.738000+02:00;send;termostat_on_38
6464;case_33;Switch Off Thermostat;User;termostat_off;2021-06-17 16:42:30.920000+02:00;send;termostat_off_39
6565;case_333;Set Up Thermostat;User;termostat_on;2021-06-17 18:31:38.435000+02:00;send;termostat_on_410
6565;case_333;Power On;User;termostat_on;2021-06-17 18:31:38.435000+02:00;send;termostat_on_410
6565;case_333;Switch Off Thermostat;User;termostat_off;2021-06-17 18:31:43.206000+02:00;send;termostat_off_412
6666;case_337;Set Up Thermostat;User;termostat_on;2021-06-17 18:32:19.262000+02:00;send;termostat_on_414
6666;case_337;Power On;User;termostat_on;2021-06-17 18:32:19.262000+02:00;send;termostat_on_414
6666;case_337;Check Environment Temperature;User;temperature;2021-06-17 18:33:00.832000+02:00;receive;temperature_417
6666;case_337;Check Environment Temperature;User;temperature;2021-06-17 18:33:24.697000+02:00;receive;temperature_417
6666;case_337;Check Environment Temperature;User;temperature;2021-06-17 18:34:29.103000+02:00;receive;temperature_417
6666;case_337;Switch Off Thermostat;User;termostat_off;2021-06-17 18:35:10.283000+02:00;send;termostat_off_418
6767;case_341;Set Up Thermostat;User;termostat_on;2021-06-17 18:35:48.917000+02:00;send;termostat_on_420
6767;case_341;Power On;User;termostat_on;2021-06-17 18:35:48.917000+02:00;send;termostat_on_420
6767;case_341;Switch Off Thermostat;User;termostat_off;2021-06-17 18:36:17.907000+02:00;send;termostat_off_422
6868;case_345;Set Up Thermostat;User;termostat_on;2021-06-17 18:36:37.489000+02:00;send;termostat_on_424
